и,and
не,not
я,I
он,he
они,they
она,she
мы,we
но,but
так,so
наш,our
только,only
такой,such
уже,already
когда,when
первый,first
год,year
кто,who
её,her
очень,very
большой,large
новый,new
работа,work
если,if
мой,my
где,where
здесь,here
теперь,now
дом,house
или,or
там,there
слово,word
глаз,eye
их,their
даже,even
тысяча,thousand
вода,water
молодой,young
тоже,too
три,three
труд,labour
хороший,good
второй,second
место,place
страна,country
двадцать,twenty
больше,more
ваш,your
комната,room
голова,head
почему,why
стол,table
мальчик,boy
девушка,girl
сегодня,today
сторона,side
совсем,completely
маленький,small
вдруг,suddenly
пять,five
вопрос,question
письмо,letter
вместе,together
дорога,road
старый,old
улица,street
книга,book
всегда,always
минута,minute
снова,again
окно,window
последний,last
отец,father
час,hour
просто,simply
третий,third
никто,nobody
лучше,better
почти,almost
конец,end
сто,hundred
художник,artist
четыре,four
пока,while
белый,white
республика,republic
быстро,quickly
главный,main
газета,newspaper
песня,song
вечер,evening
опять,again
план,plan
правда,truth
сорок,forty
поле,field
красный,red
более,more
урок,lesson
тело,body
рядом,alongside
интересный,interesting
никогда,never
район,region
нужный,necessary
особенно,especially
тридцать,thirty
десять,ten
картина,picture
комитет,committee
пусть,let
разговор,conversation
союз,union
война,war
хотя,although
целый,whole
группа,group
скоро,soon
студент,student
товарищ,comrade
полный,full
оно,it
женщина,woman
сад,garden
прошлый,past
мастер,master
стена,wall
брат,brother
пятый,fifth
раньше,earlier
тихо,quiet
чёрный,black
великий,great
завтра,tomorrow
широкий,wide
плечо,shoulder
разве,really
снег,snow
сердце,heart
недавно,recently
член,member
поэтому,consequently
школьник,schoolboy
дальше,further
ветер,wind
солнце,sun
море,sea
огромный,enormous
ученик,pupil
чувство,feeling
борьба,struggle
хлеб,bread
внимание,attention
иногда,sometimes
фабрика,factory
всякий,any
директор,director
красивый,beautiful
хозяйство,economy
душа,soul
четвёртый,fourth
шесть,six
инженер,engineer
тяжёлый,heavy
воздух,air
жена,wife
молоко,milk
однако,however
угол,corner
бумага,paper
длинный,long
часто,often
шестой,sixth
игра,game
порядок,order
успех,success
прежде,before
рассказ,story
семья,family
утро,morning
армия,army
нос,nose
техника,technology
доклад,report
седьмой,seventh
поздно,late
встреча,meeting
культура,culture
ну,well
личный,personal
школа,school
многий,many
организация,organization
станция,station
чем,than
мнение,opinion
медленно,slowly
начало,beginning
зал,hall
спортивный,sporting
зелёный,green
бабушка,grandmother
ответ,answer
восемь,eight
доска,board
неделя,week
завод,factory
форма,form
герой,hero
съезд,congress
ход,movement
шаг,step
клуб,club
небольшой,small
художественный,artistic
кто-то,someone
государство,state
американский,American
восьмой,eighth
пауза,pause
далеко,far
здание,building
птица,bird
самолёт,aeroplane
семь,seven
шофёр,driver
известный,well-known
правильно,correctly
готовый,ready
простой,simple
иной,other
результат,result
доктор,doctor
важный,important
знание,knowledge
плохо,badly
развитие,development
бог,God
общество,society
условие,condition
солдат,soldier
революция,revolution
судьба,fate
мера,measure
энергия,energy
положение,position
миллион,million
интерес,interest
материал,material
закон,law
природа,nature
масса,mass
бой,battle
политический,political
волна,wave
система,system
ребёнок,child
что-нибудь,anything
правительство,government
экономический,economic
чёрт,devil
качество,quality
международный,international
офицер,officer
проблема,problem
коммунизм,communism
километр,kilometre
количество,quantity
коммунист,communist
победа,victory
река,river
производство,production
холодный,cold
богатый,rich
строительство,construction
характер,character
необходимый,essential
особый,special
подобный,similar
пример,example
революционный,revolutionary
факт,fact
малый,small
чай,tea
тёмный,dark
явление,phenomenon
событие,event
враг,enemy
глубокий,deep
температура,temperature
вчера,yesterday
автор,author
большинство,majority
муж,husband
свободный,free
идея,idea
усилие,effort
линия,line
искусство,art
капитализм,capitalism
литература,literature
страница,page
иначе,otherwise
небо,serious
население,population
театр,theatre
надежда,hope
дед,grandfather
круг,circle
программа,programme
свобода,freedom
глубина,depth
значительный,significant
зуб,tooth
менее,less
метод,method
яркий,bright
песок,sand
источник,source
половина,half
служба,service
село,village
горячий,hot
флот,fleet
данный,given
лампа,lamp
центр,centre
западный,western
корреспондент,correspondent
прочий,other
телефон,telephone
крестьянин,peasant
период,period
дружба,friendship
направление,direction
человечество,mankind
громадный,enormous
элемент,element
вероятно,probably
умный,intelligent
знаменитый,famous
слеза,tear
где-то,somewhere
карман,pocket
музей,museum
ясный,clear
колено,knee
страх,fear
тёплый,warm
высота,height
музыка,music
остров,island
столь,so
трудный,difficult
социальный,social
воспитание,upbringing
луна,moon
кухня,kitchen
рисунок,drawing
цена,price
теория,theory
губа,lip
специальный,special
тётя,aunt
центральный,central
местный,local
растение,plant
океан,ocean
плод,fruit
существование,existence
бывший,former
газ,gas
честный,honest
позиция,position
ухо,ear
аппарат,apparatus
плохой,bad
поезд,train
профессор,professor
серьёзно,seriously
гражданин,citizen
дурак,fool
пшеница,wheat
беда,misfortune
звезда,star
обычный,usual
атмосфера,atmosphere
пустой,empty
дальнейший,further
либо,or
ракета,rocket
академия,academy
впечатление,impression
древний,ancient
пароход,steamer
разоружение,disarmament
внешний,exterior
нож,knife
крайний,extreme
моряк,sailor
принцип,principle
электрический,electric
дворец,palace
золото,gold
специалист,specialist
длина,length
абсолютно,absolutely
почва,soil
низкий,low
очевидно,obviously
серый,grey
анализ,analysis
влияние,influence
атомный,atomic
защита,defence
кусок,piece
молчание,silence
наверное,probably
неожиданно,unexpectedly
практический,practical
предел,limit
взрыв,explosion
сестра,sister
фигура,figure
бедный,poor
верхний,upper
возможный,possible
вес,weight
врач,doctor
жёлтый,yellow
поэт,poet
рот,mouth
собака,dog
капитан,captain
философия,philosophy
здоровье,health
ошибка,mistake
тотчас,immediately
практика,practice
сожаление,regret
укрепление,strengthening
крыша,roof
поиск,search
порт,port
требование,demand
озеро,lake
сознание,consciousness
прежний,former
документ,document
обычно,usually
продукт,product
секунда,second
сельскохозяйственный,agricultural
странный,strange
достижение,achievement
мёртвый,dead
могучий,powerful
удовольствие,pleasure
узкий,narrow
меньше,less
полк,regiment
попытка,attempt
рис,rice
спокойный,calm
щека,cheek
возраст,age
громко,loudly
дым,smoke
использование,utilization
красота,beauty
мощный,powerful
постепенно,gradually
президент,president
рыба,fish
темнота,darkness
улучшение,improvement
улыбка,smile
лоб,forehead
поколение,generation
видимо,evidently
промышленный,industrial
слабый,weak
стул,chair
фотография,photograph
восстание,uprising
демократический,democratic
зима,winter
крепко,firmly
портрет,portrait
бок,side
настроение,mood
облако,cloud
одновременно,simultaneously
территория,territory
вниз,down
адрес,address
вверх,upwards
духовный,spiritual
иностранный,foreign
литературный,literary
полезный,useful
расчёт,calculation
впереди,ahead
вскоре,soon
железо,iron
опасный,dangerous
шея,neck
южный,southern
короткий,short
вечный,eternal
строго,strictly
угроза,threat
здоровый,healthy
мост,bridge
снимок,photograph
телега,cart
физический,physical
водка,vodka
девять,nine
круглый,round
помощник,assistant
пьяный,drunk
толпа,crowd
